text,congruent,corrAns,letterColor,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,session,participant,
geel,0,lshift,green,0,0,0,3,,,,,lshift,1,2.82336091995,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
blauw,1,space,blue,0,1,1,2,,,,,None,0,,lshift,0.19186091423,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
rood,0,lshift,green,0,2,2,1,,,,,tab,0,1.87210392952,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
rood,1,tab,red,0,3,3,0,,,,,tab,1,2.20542693138,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
geel,0,space,blue,0,4,4,4,,,,,space,1,3.22438097,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
rood,0,enter,yellow,,,,,0,0,0,3,lshift,0,3.99263715744,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
groen,0,space,blue,,,,,0,1,1,6,space,1,2.37368583679,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
groen,0,tab,red,,,,,0,2,2,4,tab,1,1.15426588058,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
geel,0,lshift,green,,,,,0,3,3,13,lshift,1,1.77175712585,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
rood,0,space,blue,,,,,0,4,4,2,space,1,2.20652198792,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
rood,0,lshift,green,,,,,0,5,5,1,lshift,1,3.07458996773,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
groen,1,lshift,green,,,,,0,6,6,5,lshift,1,1.92201089859,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
geel,0,tab,red,,,,,0,7,7,12,tab,1,3.40927600861,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
blauw,0,tab ,red,,,,,0,8,8,8,tab,0,1.45342183113,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
blauw,0,lshift,green,,,,,0,9,9,9,lshift,1,1.73768496513,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
rood,1,tab,red,,,,,0,10,10,0,tab,1,1.20427203178,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
geel,1,enter,yellow,,,,,0,11,11,15,return,0,1.52171421051,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
geel,0,space,blue,,,,,0,12,12,14,space,1,1.45446300507,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
blauw,0,enter,yellow,,,,,0,13,13,11,return,0,4.26038312912,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
blauw,1,space,blue,,,,,0,14,14,10,space,1,1.78760290146,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
groen,0,enter,yellow,,,,,0,15,15,7,lshift,0,1.80476903915,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
blauw,0,lshift,green,,,,,1,0,16,9,lshift,1,4.39382410049,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
blauw,1,space,blue,,,,,1,1,17,10,space,1,1.92259097099,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
geel,0,tab,red,,,,,1,2,18,12,tab,1,2.5906598568,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
groen,0,enter,yellow,,,,,1,3,19,7,return,0,3.25942111015,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
rood,1,tab,red,,,,,1,4,20,0,tab,1,2.07297182083,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
blauw,0,tab ,red,,,,,1,5,21,8,tab,0,1.48698687553,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
rood,0,space,blue,,,,,1,6,22,2,space,1,2.27342915535,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
geel,0,lshift,green,,,,,1,7,23,13,lshift,1,1.58784294128,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
geel,0,space,blue,,,,,1,8,24,14,space,1,2.03915691376,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
rood,0,lshift,green,,,,,1,9,25,1,lshift,1,2.8742620945,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
groen,0,tab,red,,,,,1,10,26,4,tab,1,3.07477402687,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
geel,1,enter,yellow,,,,,1,11,27,15,return,0,2.23960494995,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
rood,0,enter,yellow,,,,,1,12,28,3,return,0,1.23754715919,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
blauw,0,enter,yellow,,,,,1,13,29,11,return,0,0.920323848724,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
groen,1,lshift,green,,,,,1,14,30,5,lshift,1,1.17027115822,None,,2014_Aug_22_0938,59.8472393645,stroop.psyexp 4 kleuren,01,1,
