text,congruent,corrAns,letterColor,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,key_resp_2.keys,date,frameRate,expName,session,participant,
rood,0,lshift,green,0,0,0,1,,,,,lshift,1,1.77177095413,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
rood,1,tab,red,0,1,1,0,,,,,tab,1,1.22098898888,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
geel,0,space,blue,0,2,2,4,,,,,space,1,1.93851280212,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
blauw,1,space,blue,0,3,3,2,,,,,space,1,1.3045809269,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
geel,0,lshift,green,0,4,4,3,,,,,lshift,1,1.53786993027,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
groen,0,space,blue,,,,,0,0,0,6,space,1,1.53818798065,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
rood,0,space,blue,,,,,0,1,1,2,space,1,1.45483994484,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
blauw,1,space,blue,,,,,0,2,2,10,space,1,1.0358979702,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
rood,0,enter,yellow,,,,,0,3,3,3,return,0,1.47172403336,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
blauw,0,lshift,green,,,,,0,4,4,9,lshift,1,1.17011499405,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
groen,0,enter,yellow,,,,,0,5,5,7,return,0,1.37144899368,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
geel,0,space,blue,,,,,0,6,6,14,space,1,1.43786907196,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
blauw,0,enter,yellow,,,,,0,7,7,11,return,0,1.05251479149,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
rood,0,lshift,green,,,,,0,8,8,1,lshift,1,1.36997199059,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
geel,0,lshift,green,,,,,0,9,9,13,lshift,1,1.53760194778,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
geel,0,tab,red,,,,,0,10,10,12,tab,1,1.30465316772,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
blauw,0,tab ,red,,,,,0,11,11,8,tab,0,1.30316710472,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
groen,0,tab,red,,,,,0,12,12,4,tab,1,0.753013134003,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
groen,1,lshift,green,,,,,0,13,13,5,lshift,1,1.53764891624,None,2014_Aug_26_1719,59.8705610638,stroop.psyexp 4 kleuren,01,4,
