text,congruent,corrAns,letterColor,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,key_resp_2.keys,date,frameRate,expName,session,participant,
geel,0,lshift,green,0,0,0,3,,,,,lshift,1,2.27835321426,None,2014_Sep_02_1211,59.712535022,stroop.psyexp 4 kleuren,02,4,
geel,0,space,blue,0,1,1,4,,,,,space,1,1.42525911331,None,2014_Sep_02_1211,59.712535022,stroop.psyexp 4 kleuren,02,4,
blauw,1,space,blue,0,2,2,2,,,,,space,1,0.989675045013,None,2014_Sep_02_1211,59.712535022,stroop.psyexp 4 kleuren,02,4,
rood,0,lshift,green,0,3,3,1,,,,,lshift,1,1.30714893341,None,2014_Sep_02_1211,59.712535022,stroop.psyexp 4 kleuren,02,4,
rood,1,tab,red,0,4,4,0,,,,,tab,1,1.29076385498,None,2014_Sep_02_1211,59.712535022,stroop.psyexp 4 kleuren,02,4,
groen,0,tab,red,,,,,0,0,0,4,tab,1,1.30784916878,None,2014_Sep_02_1211,59.712535022,stroop.psyexp 4 kleuren,02,4,
rood,1,tab,red,,,,,0,1,1,0,tab,1,0.872311115265,None,2014_Sep_02_1211,59.712535022,stroop.psyexp 4 kleuren,02,4,
groen,1,lshift,green,,,,,0,2,2,5,lshift,1,0.905166864395,None,2014_Sep_02_1211,59.712535022,stroop.psyexp 4 kleuren,02,4,
geel,0,space,blue,,,,,0,3,3,14,space,1,1.29058408737,None,2014_Sep_02_1211,59.712535022,stroop.psyexp 4 kleuren,02,4,
blauw,0,enter,yellow,,,,,0,4,4,11,return,0,2.07813405991,None,2014_Sep_02_1211,59.712535022,stroop.psyexp 4 kleuren,02,4,
blauw,1,space,blue,,,,,0,5,5,10,space,1,1.19064116478,None,2014_Sep_02_1211,59.712535022,stroop.psyexp 4 kleuren,02,4,
geel,0,lshift,green,,,,,0,6,6,13,lshift,1,1.20635390282,None,2014_Sep_02_1211,59.712535022,stroop.psyexp 4 kleuren,02,4,
